Rank,Player,Score,Games Played
1,Bennyake,2163,233
2,djParker,2122,863
3,Primrose',2110,176
4,Qualitaetsgarant,2108,194
5,podge2hodge,2099,220
6,andalusite,2083,102
7,tomohironunu,2081,1238
8,AD1NHO,2076,135
9,TAMPNGFABRIKEN,2075,187
10,Juti,2049,110
11,chardie,2048,540
12,h0dge3p0dge,2045,98
13,PointTuna,2039,606
14,hughieg1230,2035,1121
15,SzyBek45,2035,690
16,RonaldMexico,2033,164
17,player1585795,2032,77
18,lisiacz,2030,674
19,LowlanderGK,2028,86
20,snikendeteppe,2022,429
21,Tomczak,2021,107
22,Figil,2015,852
23,aquilinx,2012,855
24,Eyjafja11ajoku11,2007,1194
25,xaxaxaxI,2006,1297
26,EnzymCatalyst,2006,697
27,Kulikk,2006,317
28,Ghaleon,2004,1451
29,SomeGlitch,2004,409
30,Broman,2004,487
31,splitalterego,2003,349
32,Pedes53,2001,641
33,Ciff,1999,972
34,Please Delete I Win Credicor Thank You,1997,112
35,HighlanderKG,1994,1283
36,Random Ronny,1990,123
37,REV.STARSCREAM,1989,571
38,jukut,1988,1234
39,solmyrs_lightning,1985,792
40,adysk,1984,333
41,eksteroog,1981,1693
42,YouShouldTrain,1979,750
43,GenuineGold,1973,907
44,KaIIutaHKyctoB,1972,172
45,sSbilf,1971,161
46,ChopyChop,1968,1481
47,MisterBarca,1967,316
48,davidskywalker,1964,613
49,Yoshikuru,1964,171
50,FrooliN,1964,143
51,Gaming With George,1963,252
52,Meept,1960,110
53,King Babbysaurus,1956,703
54,jonnyalmost,1955,327
55,chexarito,1954,475
56,youwind,1954,245
57,-Lumiukkox-,1952,101
58,valeDictorian,1951,189
59,Storm92,1946,762
60,beat94,1945,200
61,jpatche,1945,853
62,ThankYouForSmoking,1944,855
63,Katttt,1944,205
64,Dave_ad_hoc,1943,724
65,Bunnu,1943,1775
66,markov90,1942,883
67,JovianOverlord,1942,105
68,w_buko,1941,151
69,Morkian,1941,183
70,DL3228,1940,437
71,player7136405,1939,140
72,Bl0wYouAway,1938,423
73,Kymlicka,1937,390
74,Me0www,1936,1102
75,Just lucky,1936,138
76,Kosmoski,1936,706
77,jussius,1934,110
78,sog_supernova,1933,777
79,Alphicans,1933,968
80,Damian_Kalinowski,1932,333
81,LuisXIV,1931,1146
82,Dead_Bone,1930,371
83,Dashdo,1929,49
84,jwatters,1928,171
85,SirSmoke,1928,484
86,JanOak,1925,466
87,tedler,1925,75
88,Hachex,1922,548
89,AI - Terrible,1921,269
90,bartek89,1920,620
91,ThothTheRaven,1920,167
92,PhilRuffin,1919,574
93,smartyyy,1918,208
94,kin9,1918,462
95,WildWushu,1916,407
96,kramnworb,1914,295
97,sangoku,1912,756
98,player7171424,1911,22
99,Der_Maister,1911,350
100,Eye_wander,1909,315
101,Inspe,1908,136
102,DVD91,1908,432
103,Mały Farciarz,1907,1087
104,DONXDONXDON,1907,157
105,kemu_kemu3,1906,1097
106,kepsu,1905,573
107,m3i_,1905,1915
108,Silent Samba,1903,291
109,Jgala,1901,405
110,Jacob Cream,1900,83
111,ECF_Handygamer,1900,117
112,KhadyRules,1899,360
113,GoodLuuking,1899,1186
114,Matjaas,1898,303
115,deantheatre,1897,567
116,sadarchie,1897,616
117,agent_snolders,1897,576
118,Cefta,1896,253
119,player7109707,1896,43
120,Alt217,1895,245
121,DKLM,1894,218
122,ofraiche,1891,406
123,gggg,1890,1796
124,kvntrng168,1890,1280
125,WenYu0007,1888,207
126,SrPatata,1886,47
127,Marsohod2000,1886,190
128,levas,1885,1384
129,Tipi13,1885,1626
130,houmeu,1884,980
131,restirw,1884,261
132,teamsquish,1884,339
133,MarvinTheBear,1884,203
134,tjreid1,1882,2325
135,johnnysunshine42,1881,1202
136,B4do,1880,650
137,skyz0r,1880,308
138,elsene,1879,55
139,sandino,1878,128
140,nukeluncheon,1878,52
141,schneeklozar,1877,178
142,kaiserschmarrn,1875,280
143,LoloNoob,1874,375
144,Rasmus1977,1874,343
145,_tucker_,1874,257
146,Underdog4,1871,571
147,revun,1870,210
148,Dadelhead,1869,332
149,AstronautAaron,1869,87
150,manasajt,1869,126
151,Nnniii,1868,164
152,Venuphile,1868,161
153,cdel,1867,289
154,Aguero16,1867,487
155,Viza,1867,326
156,Valibo,1867,457
157,BVBernd,1866,746
158,Kattt,1865,184
159,ffgp,1864,61
160,alburrito,1864,317
161,jave0229,1864,225
162,Lastchancexi,1863,178
163,CroCosta,1862,454
164,JohnBeton,1862,966
165,Methwurstmann,1861,132
166,BlackfireLV,1861,107
167,Koencr,1860,68
168,AlphaSlow,1860,262
169,oreapo_saikohhhhhh,1859,48
170,Adjepatadje,1859,69
171,Trzyszcz,1858,750
172,pro.fessor,1858,513
173,giasa,1858,1447
174,flaxen,1858,264
175,loipde,1858,135
176,RC_Snake91,1857,898
177,slumerville,1857,375
178,amazian511,1856,832
179,Chirtash,1855,649
180,hulakula162,1854,165
181,Halt,1854,450
182,Marsmanjos,1853,1936
183,ghost8472,1852,96
184,Feri98,1851,846
185,ThomarsX,1851,23
186,Firehydrant7,1851,50
187,jedihan,1850,1908
188,CuttyFlam,1850,141
189,Pr0paganda_Panda,1849,386
190,funfun,1848,164
191,Hiiiiiiii,1848,259
192,NoVP,1848,173
193,Pupu22,1847,49
194,jszhmann,1847,126
195,keenankj,1846,399
196,Iconeum,1846,406
197,potatoman,1846,505
198,smollov,1845,55
199,nato_2_5,1844,1157
200,frazility,1844,240
201,marz_barz,1843,287
202,Chipsmon,1842,271
203,jukioh,1842,94
204,Nasty Guard,1842,274
205,Ladyfromafar,1842,311
206,karmakanik,1841,418
207,Hirnalon,1841,758
208,Wqh321,1840,589
209,Suldren,1838,1673
210,ember86,1838,406
211,MrKnollItAll,1838,308
212,Belu,1836,521
213,Dalulu,1835,230
214,RPStylz,1834,273
215,PennyDionysos,1834,257
216,Kopfweh,1834,56
217,UHaveOneShot,1833,619
218,SoukyMars,1831,768
219,IkkoManu,1831,202
220,Rasmus_DK,1830,439
221,MarsMan103,1830,664
222,authoriton,1830,615
223,Andriod,1830,181
224,Flysh,1829,476
225,Transformer1,1829,671
226,odens,1827,57
227,Cromagnon Man,1827,305
228,WanHwan,1827,189
229,Sunss,1826,487
230,Lucky Pony,1826,684
231,bobisgreat168,1826,719
232,akito3181,1826,1651
233,Mars First,1826,551
234,Calzone77,1825,705
235,Station Pesquet,1825,70
236,Ispher,1825,111
237,gankedbymath,1825,418
238,spazz,1825,255
239,HairyPotter7,1825,389
240,BawriG,1824,128
241,KR_RockenWind,1824,378
242,SuleaSpataru,1823,454
243,Bludex,1823,740
244,Mudryi,1823,600
245,Elon Brusk,1822,133
246,Doubleback,1821,226
247,Notagoodname,1821,672
248,Rizky,1821,312
249,Elsasuke,1820,794
250,3markov90,1820,138
251,Martinnoren,1819,399
252,refsrefs,1819,1694
253,iamtrung,1818,654
254,saucyasian,1818,372
255,Niewodnik,1818,143
256,justbegladnow,1818,684
257,cash1981,1817,471
258,GreeningMars59,1817,580
259,ujjymad,1817,184
260,EHSP Zebmerde,1816,779
261,dawod,1815,827
262,abmholzfaeller,1815,444
263,doklen,1814,393
264,JIBIB,1814,836
265,BBlacklow,1814,1776
266,Tarvalar,1813,493
267,jose3653,1813,1007
268,rafaeltrapp,1812,184
269,itslevi,1812,239
270,C_orrosive,1812,158
271,Joegold12,1811,807
272,Duall,1811,68
273,Yuster,1811,636
274,Joscho,1810,447
275,snackytommy,1810,1004
276,smackers,1810,136
